rid,rh13_e,rh13_c,EsufS_e,EsoilS_e,EsufS_c,EsoilS_c,q_eraS_e,q_eraS_c,P_eraS_c,P_eraS_e,dppt13_e,prev_str01,stream,prev_str02,dex_riv_pred,dex_riv_pred_SE,strahler,d_us1,d_us2,Q_us1_c,Q_us2_c,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,geometry
18357,48.4346,48.4346,17229264.6064,70877319.7441,17229264.6064,70877319.7441,37841335.376,37841335.376,147260688.3477,147260688.3477,12.0754,0,18406,0,8.643610758431695,2.713268073167162,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7459319.21342404, -7459528.00944695, -7459736.80546987, -7459736.80546987, -7459736.80546987, -7459945.60149278, -7459945.60149278, -7459736.80546987, -7459945.60149278, -7460142.09409197, 4934281.86069652, 4934281.86069652, 4934490.65671642, 4934699.45273632, 4934908.24875622, 4935117.04477612, 4935325.84079602, 4935534.63681592, 4935743.43283582, 4935964.53227927)"
15789,48.6618,48.6618,69826.8735,389821.5723,69826.8735,389821.5723,137675.9473,137675.9473,704693.9805,704693.9805,13.2607,0,15833,0,9.82399735292553,2.7193289594518575,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7091629.41707062, -7091420.6210477, -7091211.82502479, 4923842.05970149, 4923842.05970149, 4924050.85572139)"
15167,46.4677,46.4677,4315.8696,25216.1895,4315.8696,25216.1895,27009.6191,27009.6191,64417.3633,64417.3633,12.3891,0,15211,0,9.197693094415229,2.758630078558953,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7354503.60992068, -7354294.81389776, 4515019.45273632, 4514810.65671642)"
15788,49.5909,49.5909,32098017.198,192749319.6641,32098017.198,192749319.6641,83232368.9346,83232368.9346,367997077.9102,367997077.9102,12.0415,0,15832,0,11.40898140335463,1.3019348675978073,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7467671.05434064, -7467671.05434064, -7467879.85036356, -7468088.64638647, -7468088.64638647, -7468088.64638647, -7467879.85036356, -7467671.05434064, -7467671.05434064, -7467462.25831773, -7467253.46229481, -7467044.6662719, -7467044.6662719, -7467044.6662719, -7466835.87024898, -7466835.87024898, -7466835.87024898, -7467044.6662719, -7467044.6662719, -7467253.46229481, -7467253.46229481, -7467253.46229481, -7467253.46229481, -7467044.6662719, -7467044.6662719, -7466835.87024898, -7466835.87024898, 
-7466835.87024898, -7466835.87024898, -7466835.87024898, -7466627.07422607, -7466835.87024898, -7466835.87024898, -7467044.6662719, -7467044.6662719, -7467253.46229481, -7467462.25831773, -7467253.46229481, -7467044.6662719, -7467044.6662719, -7467044.6662719, -7466835.87024898, -7466835.87024898, -7466835.87024898, -7466627.07422607, -7466418.27820315, -7466209.48218024, -7466209.48218024, -7466209.48218024, -7466209.48218024, -7466209.48218024, -7466209.48218024, -7466209.48218024, -7466209.48218024, 
-7466000.68615732, -7466000.68615732, -7465791.8901344, -7465583.09411149, -7465583.09411149, -7465583.09411149, -7465583.09411149, -7465791.8901344, -7466000.68615732, -7466209.48218024, -7466418.27820315, -7466627.07422607, -7466835.87024898, -7467044.6662719, -7467253.46229481, -7467253.46229481, -7467462.25831773, -7467671.05434064, -7467879.85036356, -7468088.64638647, -7468088.64638647, -7468297.44240939, -7468506.2384323, -7468715.03445522, -7468923.83047813, -7469132.62650105, -7469341.42252396, 
-7469132.62650105, -7469132.62650105, -7469341.42252396, -7469341.42252396, -7469132.62650105, -7469132.62650105, -7469341.42252396, -7469341.42252396, -7469550.21854688, -7469550.21854688, -7469550.21854688, -7469759.01456979, -7469759.01456979, -7469759.01456979, -7469967.81059271, -7469967.81059271, -7469967.81059271, -7470176.60661562, -7470176.60661562, -7470176.60661562, -7469967.81059271, -7470176.60661562, -7470385.40263854, -7470594.19866145, -7470802.99468437, -7471011.79070728, -7471220.5867302, 
5039097.46268657, 5038888.66666667, 5038679.87064677, 5038471.07462687, 5038262.27860697, 5038053.48258706, 5037844.68656716, 5037635.89054726, 5037427.09452736, 5037218.29850746, 5037218.29850746, 5037009.50248756, 5036800.70646766, 5036591.91044776, 5036383.11442786, 5036174.31840796, 5035965.52238806, 5035756.72636816, 5035547.93034826, 5035339.13432836, 5035130.33830846, 5034921.54228856, 5034712.74626866, 5034503.95024876, 5034295.15422886, 5034086.35820896, 5033877.56218905, 5033668.76616915, 
5033459.97014925, 5033251.17412935, 5033042.37810945, 5032833.58208955, 5032624.78606965, 5032415.99004975, 5032207.19402985, 5031998.39800995, 5031789.60199005, 5031580.80597015, 5031372.00995025, 5031163.21393035, 5030954.41791045, 5030745.62189055, 5030536.82587065, 5030328.02985075, 5030119.23383085, 5030119.23383085, 5029910.43781095, 5029701.64179104, 5029492.84577114, 5029284.04975124, 5029075.25373134, 5028866.45771144, 5028657.66169154, 5028448.86567164, 5028240.06965174, 5028031.27363184, 
5027822.47761194, 5027613.68159204, 5027404.88557214, 5027196.08955224, 5026987.29353234, 5026778.49751244, 5026778.49751244, 5026987.29353234, 5026987.29353234, 5026778.49751244, 5026569.70149254, 5026360.90547264, 5026152.10945274, 5025943.31343284, 5025734.51741294, 5025525.72139303, 5025316.92537313, 5025108.12935323, 5024899.33333333, 5024690.53731343, 5024690.53731343, 5024481.74129353, 5024481.74129353, 5024272.94527363, 5024064.14925373, 5023855.35323383, 5023646.55721393, 5023437.76119403, 
5023228.96517413, 5023020.16915423, 5022811.37313433, 5022602.57711443, 5022393.78109453, 5022184.98507463, 5021976.18905473, 5021767.39303483, 5021558.59701493, 5021349.80099502, 5021141.00497512, 5020932.20895522, 5020723.41293532, 5020514.61691542, 5020305.82089552, 5020097.02487562, 5019888.22885572, 5019679.43283582, 5019470.63681592, 5019261.84079602, 5019261.84079602, 5019261.84079602, 5019261.84079602, 5019261.84079602)"
6873,48.525,48.525,22639627.303,115631150.5703,22639627.303,115631150.5703,105908748.0566,105908748.0566,293795724.7461,293795724.7461,14.735,0,6877,0,10.567245986270533,2.067363499390269,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7070123.42671037, -7070332.22273328, -7070541.0187562, -7070749.81477911, -7070958.61080203, -7071167.40682494, -7071376.20284786, -7071584.99887077, -7071793.79489369, -7072002.5909166, -7072211.38693952, -7072420.18296243, -7072628.97898535, -7072837.77500826, -7073046.57103118, -7073255.36705409, -7073464.16307701, -7073672.95909992, -7073881.75512284, -7074090.55114575, -7074299.34716867, -7074508.14319158, -7074716.9392145, -7074925.73523741, -7074925.73523741, -7074925.73523741, -7074925.73523741, 
-7074716.9392145, -7074925.73523741, -7074925.73523741, -7075134.53126033, -7075343.32728324, -7075552.12330616, -7075552.12330616, -7075552.12330616, -7075552.12330616, -7075343.32728324, -7075343.32728324, -7075552.12330616, -7075552.12330616, -7075552.12330616, -7075552.12330616, -7075552.12330616, -7075343.32728324, -7075134.53126033, -7074925.73523741, -7074716.9392145, -7074508.14319158, -7074508.14319158, -7074716.9392145, -7074925.73523741, -7074925.73523741, -7074716.9392145, -7074716.9392145, 
-7074508.14319158, -7074508.14319158, -7074508.14319158, -7074299.34716867, -7074090.55114575, -7073881.75512284, -7073881.75512284, -7073881.75512284, -7074090.55114575, 4659506.29850746, 4659297.50248756, 4659297.50248756, 4659297.50248756, 4659506.29850746, 4659297.50248756, 4659088.70646766, 4658879.91044776, 4658671.11442786, 4658671.11442786, 4658462.31840796, 4658462.31840796, 4658462.31840796, 4658253.52238806, 4658253.52238806, 4658253.52238806, 4658044.72636816, 4658253.52238806, 4658253.52238806, 
4658253.52238806, 4658253.52238806, 4658253.52238806, 4658462.31840796, 4658671.11442786, 4658879.91044776, 4659088.70646766, 4659297.50248756, 4659506.29850746, 4659715.09452736, 4659923.89054726, 4660132.68656716, 4660132.68656716, 4660341.48258706, 4660550.27860697, 4660759.07462687, 4660967.87064677, 4661176.66666667, 4661385.46268657, 4661594.25870647, 4661803.05472637, 4662011.85074627, 4662220.64676617, 4662429.44278607, 4662638.23880597, 4662847.03482587, 4662847.03482587, 4663055.83084577, 
4663264.62686567, 4663473.42288557, 4663682.21890547, 4663891.01492537, 4664099.81094527, 4664308.60696517, 4664517.40298507, 4664726.19900498, 4664934.99502488, 4665143.79104478, 4665352.58706468, 4665561.38308458, 4665770.17910448, 4665978.97512438, 4666187.77114428, 4666396.56716418)"
10555,48.1011,48.1011,14100018.6748,76331129.1133,14100018.6748,76331129.1133,69028497.9395,69028497.9395,184536669.1133,184536669.1133,12.7632,0,10575,0,10.791037377173216,2.7503128620806145,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7228182.01605707, -7228390.81207998, -7228390.81207998, -7228390.81207998, -7228390.81207998, -7228599.6081029, -7228599.6081029, -7228390.81207998, -7228182.01605707, -7227973.22003415, -7228182.01605707, -7227973.22003415, -7227973.22003415, -7227973.22003415, -7227764.42401124, -7227764.42401124, -7227973.22003415, -7228182.01605707, -7228390.81207998, -7228599.6081029, -7228808.40412581, -7229017.20014873, -7229225.99617164, -7229434.79219456, -7229643.58821747, -7229852.38424039, -7230061.1802633, 
-7230269.97628622, 4533602.29850746, 4533811.09452736, 4534019.89054726, 4534228.68656716, 4534437.48258706, 4534646.27860697, 4534855.07462687, 4535063.87064677, 4535272.66666667, 4535481.46268657, 4535690.25870647, 4535899.05472637, 4536107.85074627, 4536316.64676617, 4536525.44278607, 4536734.23880597, 4536943.03482587, 4537151.83084577, 4537360.62686567, 4537360.62686567, 4537360.62686567, 4537151.83084577, 4537151.83084577, 4536943.03482587, 4536943.03482587, 4536943.03482587, 4536734.23880597, 
4536734.23880597)"
9353,52.2767,52.2767,15359146.4617,83180003.3848,15359146.4617,83180003.3848,65867341.1797,65867341.1797,191057059.2266,191057059.2266,14.9355,0,9362,0,13.556217490944269,2.7407892339238735,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-6693872.99341743, -6693664.19739451, -6693455.4013716, -6693246.60534868, -6693037.80932577, -6692829.01330285, -6692620.21727994, -6692411.42125702, -6692202.62523411, -6691993.82921119, -6691785.03318828, -6691576.23716536, -6691367.44114245, -6691158.64511953, -6690949.84909662, -6690741.0530737, -6690532.25705079, -6690323.46102787, -6690114.66500496, -6689905.86898204, -6689697.07295913, -6689488.27693621, -6689279.4809133, -6689070.68489038, -6688861.88886747, 5040559.03482587, 5040559.03482587, 
5040767.83084577, 5040767.83084577, 5040976.62686567, 5041185.42288557, 5041185.42288557, 5041185.42288557, 5041394.21890547, 5041394.21890547, 5041603.01492537, 5041394.21890547, 5041394.21890547, 5041185.42288557, 5041185.42288557, 5041185.42288557, 5041394.21890547, 5041394.21890547, 5041394.21890547, 5041603.01492537, 5041603.01492537, 5041811.81094527, 5041811.81094527, 5041811.81094527, 5041603.01492537)"
17288,46.2755,46.2755,15763960.5791,75282874.0234,15763960.5791,75282874.0234,46223972.2969,46223972.2969,158417704.7109,158417704.7109,11.7105,0,17337,0,8.370669219867,2.7150374937935458,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7420483.15316184, -7420691.94918475, -7420900.74520767, -7421109.54123058, -7421109.54123058, -7421109.54123058, -7421318.3372535, -7421527.13327641, -7421735.92929933, -7421944.72532224, -7422153.52134516, -7422362.31736807, -7422362.31736807, -7422571.11339099, -7422571.11339099, -7422779.9094139, -7422988.70543682, -7423197.50145973, -7423406.29748265, -7423615.09350556, -7423406.29748265, -7423197.50145973, -7423197.50145973, -7423406.29748265, -7423615.09350556, -7423823.88952848, -7423615.09350556, 
-7423406.29748265, -7423197.50145973, -7422988.70543682, -7422988.70543682, -7423197.50145973, -7423406.29748265, -7423406.29748265, 4750332.56716418, 4750123.77114428, 4750123.77114428, 4749914.97512438, 4749706.17910448, 4749497.38308458, 4749288.58706468, 4749079.79104478, 4748870.99502488, 4748870.99502488, 4748662.19900498, 4748453.40298507, 4748244.60696517, 4748035.81094527, 4747827.01492537, 4747618.21890547, 4747409.42288557, 4747200.62686567, 4746991.83084577, 4746783.03482587, 4746574.23880597, 
4746365.44278607, 4746156.64676617, 4745947.85074627, 4745739.05472637, 4745530.25870647, 4745321.46268657, 4745112.66666667, 4745112.66666667, 4744903.87064677, 4744695.07462687, 4744486.27860697, 4744277.48258706, 4744068.68656716)"
17040,50.1445,50.1445,12329316.2222,67537890.6738,12329316.2222,67537890.6738,25933699.1904,25933699.1904,126533063.168,126533063.168,12.6923,0,17088,0,9.578164138640965,2.720094370738793,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-7517990.89586317, -7517990.89586317, -7517990.89586317, -7517990.89586317, -7517990.89586317, -7517990.89586317, -7518199.69188609, -7518199.69188609, -7518408.487909, -7518408.487909, -7518617.28393192, -7518826.07995483, -7519034.87597775, -7519243.67200066, -7519452.46802358, -7519243.67200066, -7519452.46802358, -7519661.26404649, -7519870.06006941, -7520078.85609232, -7520078.85609232, -7520287.65211524, -7520078.85609232, -7519870.06006941, -7519870.06006941, -7519870.06006941, -7519661.26404649, 
-7519661.26404649, -7519870.06006941, -7520078.85609232, -7520078.85609232, -7520287.65211524, -7520496.44813815, -7520705.24416107, -7520705.24416107, -7520496.44813815, -7520705.24416107, -7520705.24416107, -7520705.24416107, -7520496.44813815, -7520287.65211524, -7520287.65211524, -7520287.65211524, -7520287.65211524, -7520496.44813815, -7520496.44813815, -7520287.65211524, -7520287.65211524, -7520496.44813815, -7520496.44813815, -7520705.24416107, -7520705.24416107, -7520705.24416107, -7520496.44813815, 
-7520287.65211524, -7520078.85609232, 4935325.84079602, 4935117.04477612, 4934908.24875622, 4934699.45273632, 4934490.65671642, 4934281.86069652, 4934073.06467662, 4933864.26865672, 4933655.47263682, 4933446.67661692, 4933237.88059701, 4933237.88059701, 4933029.08457711, 4932820.28855721, 4932611.49253731, 4932402.69651741, 4932193.90049751, 4931985.10447761, 4931776.30845771, 4931567.51243781, 4931358.71641791, 4931149.92039801, 4930941.12437811, 4930732.32835821, 4930523.53233831, 4930314.73631841, 
4930105.94029851, 4929897.14427861, 4929688.34825871, 4929479.55223881, 4929270.75621891, 4929061.960199, 4928853.1641791, 4928644.3681592, 4928435.5721393, 4928226.7761194, 4928017.9800995, 4927809.1840796, 4927600.3880597, 4927391.5920398, 4927182.7960199, 4926974, 4926765.2039801, 4926556.4079602, 4926347.6119403, 4926138.8159204, 4925930.0199005, 4925721.2238806, 4925512.4278607, 4925303.6318408, 4925094.8358209, 4924886.039801, 4924677.24378109, 4924468.44776119, 4924468.44776119, 4924259.65174129
)"
10776,50.9908,50.9908,11981120.6963,71046565.8184,11981120.6963,71046565.8184,59803199.3457,59803199.3457,165853441.1055,165853441.1055,14.7142,0,10797,0,12.617029407904958,2.7297006053741546,1,0,0,0,0,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,137,"c(-6703895.20251735, -6703686.40649444, -6703895.20251735, -6704103.99854027, -6704312.79456318, -6704312.79456318, -6704312.79456318, -6704103.99854027, -6703895.20251735, -6703895.20251735, -6704103.99854027, -6704312.79456318, -6704521.5905861, -6704521.5905861, -6704312.79456318, -6704103.99854027, -6703895.20251735, -6703686.40649444, 5051207.6318408, 5051416.4278607, 5051625.2238806, 5051834.0199005, 5052042.8159204, 5052251.6119403, 5052460.4079602, 5052669.2039801, 5052878, 5053086.7960199, 
5053295.5920398, 5053504.3880597, 5053713.1840796, 5053921.9800995, 5054130.7761194, 5054339.5721393, 5054548.3681592, 5054757.1641791)"
